"author_name"	"author_name_official"	"author_gender"	"author_birth"	"author_death"	"author_dialect"	"author_dialect_broad"	"novel_name"	"novel_name_official"	"novel_date"	"audience"	"loger_publishing"	"tokens"	"regular_mtld"	"batch"	"novel_period"
""	"Nancy Huston Banks"	"female"	1849	1934	"American"	"American"	""	"Round Anvil Rock: A Romance"	1903	""	NA	87191	99.9804928633888	2	"twentieth century"
""	"Nephi Anderson"	"male"	1865	1923	"American"	"American"	""	"Story of Chester Lawrence"	1913	""	NA	56345	94.6913465040175	2	"twentieth century"
""	"Thomas Bailey Aldrich"	"male"	1836	1907	"American"	"American"	""	"The Story of a Bad Boy"	1870	""	NA	56272	120.771776309879	2	"nineteenth century"
""	"William Taylor Adams"	"male"	1822	1897	"American"	"American"	""	"Living Too Fast"	1876	""	NA	68275	85.3134603902437	2	"nineteenth century"
"Arnold_Bennett"	"Arnold Bennett"	"male"	1867	1931	"British"	"British"	"Anna_of_the_Five_Towns"	"Anna of the Five Towns"	1902	""	NA	73772	109.666999707242	1	"twentieth century"
"William_Clark_Russell"	"William Clark Russell"	"male"	1844	1911	"British"	"British"	"Abandoned"	"Abandoned"	1904	""	NA	87384	86.3043039423543	1	"twentieth century"
"edward_federic_benson"	"Edward Frederic Benson"	"male"	1867	1940	"British"	"British"	"dodos_daughter"	"Dodo’s Daughter"	1913	""	NA	101556	82.7457452389313	1	"twentieth century"
"Henry_Rider_Haggard"	"Henry Rider Haggard"	"male"	1856	1925	"British"	"British"	"Ayesha_the_Return_of_She"	"Ayesha, the Return of She"	1905	""	NA	116138	114.366845025428	1	"twentieth century"
"edgar_jepson"	"Edgar Jepson"	"male"	1863	1938	"British"	"British"	"the_loudwater_mystery"	"The Loudwater Mystery"	1920	""	NA	62407	80.4235286302644	1	"twentieth century"
"Wilkie_Collins"	"Wilkie Collins"	"male"	1824	1889	"British"	"British"	"The_Dead_Alive"	"The Dead Alive"	1874	""	NA	21666	95.7911013101958	1	"nineteenth century"
"william_john_locke"	"William John Locke"	"male"	1863	1930	"British"	"British"	"the_fortunate_youth"	"The Fortunate Youth"	1914	""	NA	98649	99.6941754393114	1	"twentieth century"
"anthony_trollope"	"Anthony Trollope "	"male"	1815	1882	"British"	"British"	"mr_scarboroughs_family"	"Mr. Scarborough’s Family"	1883	""	NA	210565	75.8189518700725	1	"nineteenth century"
"george_alfred_henty"	"George Alfred Henty"	"male"	1832	1902	"British"	"British"	"in_the_reign_of_terror"	"In the Reign of Terror"	1888	""	NA	92995	85.6383799486021	1	"nineteenth century"
"thomas_hardy"	"Thomas Hardy"	"male"	1840	1928	"British"	"British"	"jude_the_obscure"	"Jude the Obscure"	1895	""	NA	143961	106.760456943835	1	"nineteenth century"
"Charles_Dickens"	"Charles Dickens"	"male"	1812	1870	"British"	"British"	"David_Copperfield"	"David Copperfield"	1850	"yes"	NA	354482	94.4033108828078	1	"nineteenth century"
"alan_alexander_milne"	"Alan Alexander Milne"	"male"	1882	1956	"British"	"British"	"once_on_a_time"	"Once on a Time"	1917	""	NA	47988	88.1034252816453	1	"twentieth century"
"richard_doddridge_blackmore"	"Richard Doddridge Blackmore"	"male"	1825	1900	"British"	"British"	"erema"	"Erema"	1877	""	NA	165741	110.828642137824	1	"nineteenth century"
"edward_bulwer_lytton"	"Edward Bulwer Lytton"	"male"	1803	1873	"British"	"British"	"last_days_of_pompeii"	"Last Days of Pompeii"	1834	""	NA	149093	93.3187545735674	1	"nineteenth century"
"F_Anstey"	"F. Astney"	"male"	1856	1934	"British"	"British"	"The_Brass_Bottle"	"The Brass Bottle"	1900	""	NA	68871	121.805957900266	1	"nineteenth century"
""	"George Borrow"	"male"	1803	1881	"British"	"British"	""	"Lavengro"	1851	""	NA	225544	75.7345773239675	3	"nineteenth century"
""	"William Black"	"male"	1841	1898	"sco"	"British"	""	"A Princess of Thule"	1873	""	NA	191056	92.9223157505133	3	"nineteenth century"
""	"Anthony Hope"	"male"	1863	1933	"British"	"British"	""	" The Prisoner of Zenda"	1894	""	NA	53712	97.6671065720787	4	"nineteenth century"
""	"Arthur Conan Doyle"	"male"	1859	1930	"British"	"British"	""	"The Hound of the Baskervilles"	1902	""	NA	59258	107.243342634463	4	"twentieth century"
""	"Charles Howard Hinton"	"male"	1853	1907	"British"	"British"	""	"A New Era of Thought"	1888	""	NA	55522	50.5456223517792	4	"nineteenth century"
""	"George Griffith"	"male"	1857	1906	"British"	"British"	""	"The Mummy and Miss Nitocris: A Phantasy of the Fourth Dimension "	1906	""	NA	77541	96.582376218001	4	"twentieth century"
""	"Rudyard Kipling"	"male"	1865	1936	"British"	"British"	""	"Kim"	1901	""	NA	104490	129.044473987817	4	"twentieth century"
"amanda_mckittrick_ros"	"Amanda McKittrick Ros"	"female"	1860	1939	"ire"	"British"	"irene_iddesleigh"	"Irene Iddesleigh"	1897	""	NA	33361	129.895508824907	1	"nineteenth century"
"Anne_Bronte"	"Anne Brönte"	"female"	1820	1849	"British"	"British"	"Agnes_Grey"	"Agnes Grey"	1846	""	NA	67676	103.500061514675	1	"nineteenth century"
"charlotte_bronte"	"Charlotte Brontë"	"female"	1816	1855	"British"	"British"	"jane_eyre"	"Jane Eyre"	1847	""	NA	185389	99.8234974493957	1	"nineteenth century"
"dinah_maria_mulock_craik"	"Dinah Maria Mulock Craik"	"female"	1826	1887	"British"	"British"	"john_halifax_gentleman"	"John Halifax, Gentleman"	1856	""	NA	174677	137.750839193543	1	"nineteenth century"
"elizabeth_cleghorn_gaskell"	"Elizabeth Cleghorn Gaskell"	"female"	1810	1865	"British"	"British"	"mary_barton"	"Mary Barton"	1848	""	NA	160874	103.897117832708	1	"nineteenth century"
"Ellen_Wood"	"Ellen Wood"	"female"	1814	1887	"British"	"British"	"The_Channings"	"The Channings"	1862	""	NA	199313	115.075780978212	1	"nineteenth century"
"george_eliot"	"George Eliot"	"female"	1819	1880	"British"	"British"	"middlemarch"	"Middlemarch"	1872	"yes"	NA	316085	109.791888627839	1	"nineteenth century"
"hesba_stretton"	"Hesba Stretton"	"female"	1832	1911	"British"	"British"	"ferns_hollow"	"Fern’s Hollow"	1864	""	NA	42135	103.168962130396	1	"nineteenth century"
"L_G_Moberly"	"L. G. Moberly"	"female"	1861	1931	"British"	"British"	"Christina"	"Christina"	1912	""	NA	89983	105.580188799152	1	"twentieth century"
"l_t_meade"	"L. T. Meade"	"female"	1844	1914	"ire_British"	"British"	"the_girls_of_st_wodes"	"The Girls of St. Wode’s"	1898	"juvenile"	NA	85647	105.371677462939	1	"nineteenth century"
"mary_augusta_ward"	"Mary Augusta Ward"	"female"	1851	1920	"British"	"British"	"marcella"	"Marcella"	1894	""	NA	244497	109.274183416176	1	"nineteenth century"
"mary_elizabeth_braddon"	"Mary Elizabeth Braddon"	"female"	1835	1915	"British"	"British"	"henry_dunbar"	"Henry Dunbar"	1864	""	NA	155243	89.197147958681	1	"nineteenth century"
"Mary_Louisa_Molesworth"	"Mary Louisa Molesworth"	"female"	1839	1921	"British"	"British"	"The_Carved_Lions"	"The Carved Lions"	1895	""	NA	39957	89.9515145632744	1	"nineteenth century"
"miles_franklin"	"Miles Franklin"	"female"	1879	1954	"aus"	"British"	"my_brilliant_career"	"My Brilliant Career"	1901	""	NA	88169	96.1849083401629	1	"twentieth century"
"virginia_woolf"	"Virginia Woolf"	"female"	1882	1941	"British"	"British"	"jacobs_room"	"Jacob’s Room"	1922	""	NA	54432	109.14264379357	1	"twentieth century"
""	"Margaret Oliphant"	"female"	1828	1897	"sco"	"British"	""	"The Story of a Governess"	1891	""	NA	148762	96.6114967562248	4	"nineteenth century"
""	"Violet Hunt"	"female"	1862	1942	"British"	"British"	""	"The Cat"	1905	""	NA	47839	91.3237967027003	3	"twentieth century"
""	"Jessie Fothergill"	"female"	1851	1891	"British"	"British"	""	"The First Violin"	1877	""	NA	142074	94.2293788678882	3	"nineteenth century"
""	"Mrs. Lovett Cameron"	"female"	1844	1921	"British"	"British"	""	"Vera Nevill"	1893	""	NA	117752	91.4774346816132	3	"nineteenth century"
""	"Marie Corelli"	"female"	1855	1924	"British"	"British"	""	"Ziska: The Problem of a Wicked Soul "	1897	""	NA	58807	112.199553227952	3	"nineteenth century"
""	"Baroness Emma Orczy"	"female"	1865	1947	"British"	"British"	""	"Leatherface"	1916	""	NA	106228	95.6335868971202	4	"twentieth century"
""	"Ada Leverson"	"female"	1862	1933	"British"	"British"	""	"Love at Second Sight by Ada Leverson"	1916	""	NA	57544	99.4987022168235	4	"twentieth century"
""	"Alice Perrin"	"female"	1867	1934	"British"	"British"	""	"Star of India"	1919	""	NA	77211	117.022080528	4	"twentieth century"
""	"Mary Cholmondeley"	"female"	1859	1925	"British"	"British"	""	"Red Pottage"	1918	""	NA	116516	91.9194249807216	3	"twentieth century"
""	"Julia Frankau"	"female"	1859	1916	"British"	"British"	""	"Twilight"	1916	""	NA	84166	104.246743445988	3	"twentieth century"
""	"Kate Langley Bosher"	"female"	1865	1932	"American"	"American"	""	"Miss Gibbie Gault"	1911	""	NA	77832	98.6144727073057	5	"twentieth century"
""	"Richard Marsh"	"male"	1857	1915	"British"	"British"	""	"The Beetle"	1897	""	NA	110056	91.2630293884093	5	"nineteenth century"
""	"Talbot Mundy"	"male"	1879	1940	"British"	"British"	""	"The Caves of Terror"	1922	""	NA	45132	97.3090098433095	5	"twentieth century"
""	"Max Pemberton"	"male"	1863	1950	"British"	"British"	""	"The Lady Evelyn"	1906	""	NA	78116	106.707083019829	5	"twentieth century"
